         778512335 function calls (766171447 primitive calls) in 512.124 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  5821411    3.148    0.000   14.842    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/common.py:227(is_datetimetz)
   690728    3.127    0.000    3.127    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   226000    3.092    0.000    8.074    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:3363(_rebuild_blknos_and_blklocs)
  1907248    3.039    0.000  157.879    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/frame.py:730(iterrows)
  3998854    3.022    0.000    4.688    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/series.py:405(name)
  3624015    2.971    0.000    3.662    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:237(mgr_locs)
  5903763    2.939    0.000   12.067    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/inference.py:251(is_list_like)
  5530230    2.793    0.000    9.119    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/common.py:89(is_object_dtype)
   282376    2.764    0.000   21.950    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/generic.py:5252(fillna)
  5286076    2.670    0.000    8.363    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/series.py:412(dtype)
  2534679    2.648    0.000    2.648    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/cast.py:853(maybe_castable)
  5105082    2.531    0.000    2.531    0.000 {built-in method pandas._libs.lib.is_scalar}
  5903851    2.505    0.000    2.506    0.000 {built-in method _abc._abc_instancecheck}
  2405027    2.503    0.000   20.233    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1629(is_extension_type)
  4399360    2.405    0.000   12.146    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/common.py:195(is_categorical)
