         972820178 function calls (958199753 primitive calls) in 786.661 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2389669    4.221    0.000   10.900    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:3058(shape)
   891330    4.169    0.000   52.482    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/generic.py:3896(astype)
  5872532    4.152    0.000    5.934    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/series.py:340(name)
   926417    4.116    0.000   99.665    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/ops.py:773(na_op)
679401/679196    3.789    0.000   62.301    0.000 <frozen importlib._bootstrap>:966(_find_and_load)
  4928250    3.723    0.000    4.577    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:226(mgr_locs)
  8564315    3.716    0.000    4.339    0.000 {method 'write' of '_io.TextIOWrapper' objects}
  8253828    3.683    0.000   11.345    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/dtypes/common.py:334(is_datetime64tz_dtype)
   972532    3.663    0.000   84.048    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/frame.py:2115(__getitem__)
   865884    3.623    0.000    8.263    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/openpyxl/writer/etree_worksheet.py:61(etree_write_cell)
   891330    3.619    0.000   16.852    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:546(_astype)
  6464495    3.596    0.000   20.673    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/dtypes/common.py:223(is_datetimetz)
   510445    3.559    0.000  155.181    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/generic.py:2141(_take)
  5045599    3.497    0.000    5.379    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/indexes/range.py:469(__len__)
   519800    3.443    0.000    3.443    0.000 {pandas._libs.algos.take_2d_axis1_object_object}
  2720887    3.360    0.000    3.360    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/dtypes/cast.py:826(maybe_castable)
   322268    3.084    0.000  117.038    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/ops.py:928(wrapper)
  3995836    3.036    0.000    5.007    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:4479(dtype)
